keluhan;bagian
"Selamat pagi, 
 Saya Geovanni Eddy Andaria dari Jurusan Administrasi Bisnis angkatan 2016. Jadi begini, saya semester 9 kemarin membayar BPP full paket sebesar Rp.6.150.000 dan matakuliah yang saya ambil hanya magang dan skripsi. Di tagihan registrasi Igracias tertulis yang terbayar sebesar Rp.2.550.000, lalu saya melihat pengumuman bahwa ada pengembalian dengan mencantumkan nomer rekening, kebetulan saya tidak mencantumkan nomer rekening. Pertanyaan saya, uang sisanya kemana? Lalu semester ini saya mendapat tagihan registrasi sesuai dengan paket dan potongan menjadi sebesar RP.2.350.000 
 Bisa tidak seandainya sisa yang harusnya pengembalian dialihkan kesana?
 
 Selamat pagi,
 Terimakasih";AKUNTANSI
"Assalamualaikum selamat pagi bagian keuangan telkom
 
 saya argo surya adi dewantoro dari kelas if 4010
 nim 1301164185
 
 saya ingin bertanya tagihan saya masih di blokir, saya sudah mengikuti langkah untuk registrasi tapi tagihan saya masih di blokir, dari situs situ.telkom juga tidak ada pengajuan lagi";AKUNTANSI
"Assalamualaikum
 
 Saya yuliansyah adhi prayoga 1101154196, mau menanyakan saya ingin melakulan pembayaran bpp tapi gagal terus, saya mahasiswa studi melebihi batas normal, terima kasih
 
 Best Regards,";AKUNTANSI
Assalamualaikum warahmatullahi wabarakatuh pak/bu. Nama saya Chairunnisa Br Tarigan NIM 6701201006. Mohon maaf sebelumnya pak/bu, mohon dispensasi waktunya untuk saya dalam pembayaran BPP, dikarenakan orang tua saya baru panen padi hari ini dan uangnya baru ada di hari senin pak. Mohon pengertiannya pak???? Terimakasih pak/bu wassalamu'alaykum warahmatullahi wabarakatuh.;AKUNTANSI
"Assalamualaikum, 
 Selamat pagi, saya mirza surya mediasta 1401160411, ingin memberitahukan kendala dalam proses pembayaran bpp, dari pihak bank BNI tidak bisa memasukan nomor tagihan saya min, jadi disuruh konfirmasi ke pihak kampus kenapa bisa demikian? Mohon untuk ditindaklanjuti ya min, sebab hari ini terakhir pembayaran BPP ??
 Terimakasih banyak atas perhatiannya ??
 
 *Sebelum ke teller bank BNI saya juga sudah mencoba bayar melalui atm, dan muncul pemberitahuan seperti foto terlampir";AKUNTANSI
"Permisi, selamat siang kak
 Daya mau bertanya kenapa tagihan saya masih belum keluar jg ya? 
 Padahal ini sudah tanggal 5 dan batas akhir pembayaran
 Tolong bantuannya kak
 Terimakasih";AKUNTANSI
"Assalamualaikum, saya Ryan Aditya Manda 1201190303, sudah melakukan pembayaran BPP via OVO dengan menggunakan metode VIRTUAL ACCOUNT BANK BNI, tetapi di status pembayaran terta BELUM LUNAS. Bagaimana ya? Mohon solusinya segera. Terima Kasih.
 
 Berikut terlampir bukti pembayaran";AKUNTANSI
"Selamat siang.
 
 Saya Rejnasah Djajilah mahasiswi lama fakultas FEB dengan nim 140115466. Maaf saya mau bertanya, sampai saat ini saya belum bisa melakukan pembayaran karena nomer tagihan tidak terdaftar saya sudah mencoba dari hari selasa melalui teller, atm maupun mbanking. Kira-kira itu kenap ya pa/bu?
 
 Terimakasih????";AKUNTANSI
"Selamat siang.
 
 Saya Rejnasah Djajilah mahasiswi lama fakultas FEB dengan nim 140115466. Maaf saya mau bertanya, sampai saat ini saya belum bisa melakukan pembayaran karena nomer tagihan tidak terdaftar saya sudah mencoba dari hari selasa melalui teller, atm maupun mbanking. Kira-kira itu kenap ya pa/bu?
 
 Terimakasih????";AKUNTANSI
"Assalamu'alaikum wr.wb, Selamat pagi bapak/ibu
 Saya Muhhamad Taufik Hendrawan / 7708202103 , Saya ingin bertanya.
 Saya waktu tanggal 1 februari sudah bayar BPP dan status di igracias saya SUDAH LUNAS dan saya sudah mencetak KSM pada tanggal 3 februari dan sudah di Approve oleh Dosen Wali.
 Tapi kemarin saya buka igracias status pembayarannya menjadi SELISIH BAYAR lagi. Itu kenapa ya? ini ada bukti kuitansi pembayarannya.
 Mohon di bantu ya bpk/ibu, Terima Kasih
 Attachments area";AKUNTANSI
"saya daffa ahmad mahasiswa telkom university jurusan perhotelan, saya ingin melakukan pembayaran bpp semester genap lewat mandiri online tidak bisa karena kendala jaringan.
 
 adakah no rekening lain yang bisa digunakan untuk melakukan pembayaran bpp semester genap?";AKUNTANSI
"Assalamualaikum warahmatullahi wabarokatuh
 Selamat pagi pak/ibu, saya Lelitia Tamara (1401154492) angkatan 2015.
 Saya mahasiswa yang pembayaran BPP nya melampaui masa studi normal... 
 
 Untuk penginputan mata kuliah sudah di acc oleh dosen wali tetapi semenjak tanggal 3 kemarin saya mau bayar melalu teller BNI tagihan nya belum keluar.. bagaimana ya solusinya? Terimakasih sebelumnya ??";AKUNTANSI
"Selamat siang pak/bu
 Saya mengalami kendala saat melakukan transaksi karena ada gangguan ke rek telkomnya, 
 Saya sudah mencoba membayar bpp melalui atm maupun teller namun ada gangguan ke rek telkomnya, saya memakai rek mandiri
 Terimakasih????";AKUNTANSI
"Selamat sore Pak/Bu, 
 
 Saya Novita Sari Ginting, mahasiswi telkom university angkatan 2017, dari jurusan international ICT Business, saya ingin bertanya mengenai kendala pembayaran spp uang kuliah untuk tahun 2021 semester genap, saya baru saja ingin melakukan pelunasan pembayaran melalui atm Bni, saya sudah memasukkan nomor tagihan+1+Nim, tetapi saya tidak dapat menyelesaikan tranksaksi pembayaran saya, informasinya yg tertera ialah, nomor tagihan salah, tidak memiliki tagihan dan voucher tidak tersedia..
 Saya ingin bertanya apakah penyebab kendala tersebut pak/bu, ditunggu ya pak/bu responnya, terimakasih, selamat sore.";AKUNTANSI
Selamat sore min mau nanya untuk pembayaran bpp kan terakhir besok yah, kalo misal mau minta tambahan hari untuk pelunasan bayaran bpp bisa ga ya min? Ada kendala soalnya jadi mau ajuin telat bayar gitu bisa ga ya min? Terimakasih;AKUNTANSI
"Assalamualaikum.. Saya orang tua mahasiswa M. Nuris Zaki Nugroho
 Mau menanyakan tagihan pembayaran semester.
 Info dr dosen wali 6.650.000
 Tetapi di siatem 6.850.000 yg betul yg mana. 
 Disistim tertera ada biaya semester kemarin 400.000 padahal saya sudah membayarnya.
 Bagaimna mana yang benar.. 
 Mohon dicek mana yang benar?";AKUNTANSI
"Saya sudah mencoba bayar lewat teller bni dengan format yg biasanya, tetapi kata tellernya ""Data tidak ditemukan"" saya harus apa? Apa formatnya berbeda? 
 
 Terimakasih";AKUNTANSI
"Selamat siang kak, saya mau bertanya 
 Tadi saya mau melakukan pembayaran bpp diteller mandiri dan ternyata dikomputernya saya sudah melunasinya padahal saya belum melakukan pembayaran kak 
 Boleh minta tolong dicek kak ? Soalnya igracias saya tidak bisa terbuka";AKUNTANSI
Perkenalkan saya Hasby Musthofa Irja mahasiswa S1 Teknik Telekomunikasi 2015 (1101154237). Kemarin saya mau melakukan pembayaran SPP lewat teller di bank BNI. akan tetapi setelah menginputkan nim muncul notifikasi di komputer teller nilai pembayaran salah. Bagaimana solusinya bu/pak?;AKUNTANSI
"Selamat Siang,
 Saya ingin bertanya mengapa tagihan semester saya tidak keluar.
 Apakah saya harus menyelesaikan Regristrasi Mata Kuliah dahulu baru tagiahan semester keluar?
 Soalnya saya juga belum menyelesaikan regristrasi mata kuliah. Mohon solusinya 
 
 Terima Kasih.";AKUNTANSI
"Selamat siang pak/bu,
 Saya ni wayan ayu padma mahasiswi jurusan S1 MBTI 2017. Saya yang kemarin sudah email dan sudah mengirimkan surat pernyataan. Saya ingin menanyakan bagaimana kelanjutan BPP saya ya? Kebetulan besok hari terakhir pembayaran BPP. Terimakasih sebelumnya";AKUNTANSI
"Assalamualaikum wr. wb.
 Selamat siang, saya Muhamad Elang Ramadhan mahasiswa S1 Informatika 2019 dengan NIM 1301190458 ingin melaporkan masalah terkait pembayaran BPP. Pada iGracias saya total tagihan yang terbayar tidak sesuai dengan yang sudah dibayarkan / ditransferkan, untuk lebih jelasnya bisa dilihat pada lampiran.
 Terimakasih.";AKUNTANSI
Mohon klarifikasi. Mhs saya angkatan 2015. Nama : SONI RAMDANI AKBAR. 1101154190. Di Igracias tertulis Tagihan 3.750.000 + asuransi 150.000 - subsidi 200.000 = 3.700.000 harusnya. Tp dia bayar Rp 3.750.000 krn tagihan di bank (Mandiri) segitu katanya. Kmd dicek di igracias lagi tertulisnya baru bayar Rp 3.600.000 dan kurang Rp 100.000. Mohon dapat dibantu ????;AKUNTANSI
"Assalamualaikum pak/ibu selamat siang, Perkenalkan Nama saya Hilman rizqiyansyah dari fakultas industri kreatif prodi desain produk sebelumnya saya mau menanyakan pak/ibu saya kan sudah melakukan pembayaran pada tanngal 03/02/2021 jam 15:16 Bpp yang sebelumnya sebesar 6.950.000juta di potong menjadi 4.950.000 karena di potong sebesar 2 juta itu Dari uang asrama yang tidak jadi di ambil untuk potongan Biyaya semester 2, 
 Tetapi saya belum bisa melakukan proses registrasi.";AKUNTANSI
saya melakukan pembayaran via mandiri yang biasanya melalui BNI dengan adanya perubahan dan tidak memberitahu kepada mahasiswa saya rasa itu kurang baik, kemudian saya sudah membayar dengan menggunakan mandiri;AKUNTANSI
"Pagi, saya Suci penerima beasiswa ukt. Saya sudah membayar sisa tagihan bpp melalui VA BNI, cuma kenapa status di igracias nya masi belom lunas ya?
 
 mohon dibantu, ini nim saya 6701180007 a/n Suci Rahmadani";AKUNTANSI
Assalamualaikum,saya samira mahasiswi angkatan 2019,saya kemaren mengajukan penundaan bpp&sudah izin&mengetahui dosen wali saya,tetapi saya telat bayar&telat submit berkas samapai waktu yang ditenkukan terakhir tanggal 29.lalu saya masih belum bisa regristrasi mata kuliah,Mohon bantuanya??terima kasih;AKUNTANSI
"Selamat pagi,
 
 Saya Rachmadania Irmanita (1301174500) jurusan S1 Informatika ingin bertanya mengenai BPP untuk melakukan registrasi mata kuliah S2. Saya mengikuti program fastrack S2. Saya ingin melakukan registrasi untuk S2 namun saya diminta untuk melakukan pembayaran S1 karena saya dinyatakan belum terdaftar pada program fastack dan belum mengambil mata kuliah S2. Sedangkan pada semester sebelumnya saya sudah mengambil mata kuliah S2 (ada di ksm juga sudah dapat nilai akhir untuk mk tersebut) dan di-approve untuk mengikuti program Fastrack oleh kaprodi Informatika S2. Apakah saya tidak bisa hanya membayar BPP untuk S2 saja? Terima kasih.
 
 Hormat saya,
 Rachmadania Irmanita";AKUNTANSI
"Dear Bapak Ibu Finance Telkom University,
 
 Saya Almerindo Bianco Sequeira Mahasiswa S2 Teknik Industri FRI-TelU.
 Saat ini saya sedang menunggu jadwal untuk Ujian Pemantauan Tesis dan selanjutnya untuk ujian Tesis.
 
 Saya ingin sampaikan kembali informasi dari bagian Admin Prodi S2 TelU terkait registrasi mata kuliah dan pembayaran biaya BPP untuk saya saat ini.
 
 Berhubungan dengan proses registrasi mata kuliah dan juga proses perkuliahan saya saat ini hanya menunggu jadwal untuk ujian pemantauan Tesis dan ujian Tesis, dari Admin Prodi S2 Teknik Industri FRI, maka informasi dari admin S2 FRI sampaikan bahwa untuk sementara ini saya ""GAUSAH REGISTRASI"", dengan syarat harus kejar ujian Tesis hingga selesai dan masuk Yudisium dari FRI bulan depan, jika tidak sempat mengikuti Yudisium bulan depan baru melakukan registrasi dan kemungkingan juga kena biaya BPP untuk proses selanjutnya.
 
 Demikian informasi ini saya sampaikan, mohon perhatian dan mengijinkan jika saya tidak sempat masuk Yudisium bulan depan, dan harus registrasi lagi mata kuliah untuk proses perkuliahan saya serta segala aturan dan kebijakan dari kampus sendiri terkait registrasi dan pembayaran biaya BPP.
 
 Nota tagiahan biaya bagi saya untuk semester ini yang ada di IGRACIAS.";AKUNTANSI
"Assalamu'alaikum dan selamat malam, bapak/ibu perkenalkan saya Desy Fitriani dengan nim 1202184004 dari jurusan Sistem Informasi (FRI), bapak/ibu saya ingin bertanya saya kan mengajukan untuk keringanan biaya BPP tapi saat saya akan bayar tadi sore dan saya mengecek berapa nominal 30% untuk pembayaran awalnya di SITU nya itu muncul seperti ini bapak/ibu, itu bagaimana ya? Saya tanya ke dosen wali saya katanya terakhir pembayaran tanggal 5 Februari 2021, tapi di SITU nya seperti itu bapak/ibu. Saya mohon untuk jawaban dan informasinya bapak/ibu, saya minta maaf kalau melakukan pembayaran sangat telat, saya mohon untuk diberikan lagi kesempatan pemotongan biayanya bapak/ibu.
 Terimakasih.";AKUNTANSI
"Assalamualaikum pak
 Saya RIFANGGA QAID AQSHAL (1501194300) dari kelas AB 43 03 pak
 Maaf menganggu bapak, mohon bantuan bapak untuk saya dapat kiranya mencicil untuk pembayaran uang kuliah semester ini lagi, mohon arahannya, dan saya ucapkan terimakasih atas bantuan bapak.";AKUNTANSI
"Selamat sore pak/bu. Saya Febrian Wulandari (1202194047) dari kelas SI 43-03 izin bertanya. 
 Untuk pembayaran 30% itu, tadi saya juga sudah mentransfer ke Bank BNI dengan m-banking tetapi di igracias blm ada perubahan apapun. Itu bagaimana ya pak/bu? Kira-kira infonya kapan ya pak/bu? karena saya jadi belum bisa melakukan registrasi mata kuliah
 
 Terimakasih";AKUNTANSI
Assalamualaikum selamat sore saya yunita dari akuntansi 2019 ingin menanyakan perihal keringanan bpp. Disini saya mendapatkan keringanan sebesar 10% tadi igraciasnya sudah update tetapi di igraciasnya masih belum di potong,kira kira kapan ya igraciasnya di update lagi? Terimakasih;AKUNTANSI
"Assalamualaikum saya Gabriella dari akuntansi 2019 izin bertanya perihal registarsi matakuliah di igracias ,teman saya sudah dapat registrasi matakuliah padahal status pembayaran saya dan teman saya sama masih menunggu potongan 10 % , tetapi igracias saya belum dapat Registrasi mata kuliah itu bagaimana ya ? ,
 
 
  Terimakasih sebelumnya";AKUNTANSI
permisi, saya zidny mahasiswa s1 Teknik telekomunikasi semester 6, tanggal 28 januari kemarin saya sudah mengajukan penundaan dan membayar 30% bpp, tapi hari ini ketika saya akan melakukan registrasi mata kuliah kenapa masih belum bisa ya ? sepengetahuan saya semester kemarin juga mengajukan penundaan dan bisa registrasi, terima kasih;AKUNTANSI
"Selamat siang,
 
 Perkenalkan saya Arief Tri Hendrayanto mahasiswa Teknik Industri 2017. Saya ingin bertanya perihal status pembayaran BPP saya di Igracias, saya sudah melakukan pembayaran melalui Teller bank Mandiri pada tanggal 02/02/2021 jam 10.00 dengan status transaksi di bank ""Sukses"", namun di igracias pada tanggal 02/02/2021 setelah saya melakukan pembayaran, status di igracias ""Belum Lunas"", pada tanggal 03/02/2021 statusnya berubah menjadi ""Kredit"", saya sudah menanyakan hal ini via Whatsapp keuangan tetapi tidak ada jawaban, jadi apakah memang perlu menunggu beberapa hari untuk perubahan status menjadi ""Lunas"" atau bagaimana ya?
 
 Terima Kasih.";AKUNTANSI
Permisi saya Syihab Agung dengan NIM 1103162007 dari S1 Teknik Komputer saya mau bertanya tentang pembayaran karena saya sudah bolak balik berkali kali ke teller dan mencoba untuk membayar semester melalui ATM kok tetapi teller bilang data tagihan saya tidak ditemukan dan juga di ATM tagihan saya tidak ditemukan itu kenapa ya?;AKUNTANSI
"Selamat Siang,
 
 Saya Iwasni mahasiswa S2 Teknik Elektro ingin menyampaikan bahwa saya tidak dapat melakukan pembayaran serta tagihan di igracias mau pun bank tidak keluar. Mohon bantuannya untuk proses pembayaran ini.
 
 Berikut saya lampirkan :
 Nama : Iwasni
 NIM : 2101181009
 
 Terimakasih.";AKUNTANSI
"Assalamualaikum selamat pagi bagian keuangan telkom
 
 saya argo surya adi dewantoro dari kelas if 4010
 nim 1301164185
 
 saya ingin bertanya tagihan saya masih di blokir, saya sudah mengikuti langkah untuk registrasi tapi tagihan saya masih di blokir, dari situs situ.telkom juga tidak ada pengajuan lagi";AKUNTANSI
Selamat siang saya orangtua dari shabrina azzahra putri th 2020/2021 Nim : 1201202498.. mau menanyakan apakah pembayaran semester 2 ini saya langsung potong uang asrama jadi saya hanya bayar rp6.000.000 trm ksh;AKUNTANSI
"siang teh saya Refin Malikul Iskandar 1102160270 mhs telkom angkatan 2016 maaf mengganggu, 
 
  izin ingin konsultasi kendala pembayaran taghihan bpp telkom teh. ketika saya menggunakan atm mandiri hari selasa, terdapat tampilan normor tidak terdaftar.
 setelah itu saya ke teller bni menggunakan Riwayat pembayaran semeseter lalu namun juga tidak bisa. solusi nya seperti apa ya teh? terimakasih";AKUNTANSI
"Selamat siang
 
 Mohon maaf mengganggu
 
 Ingin bertanya mengenai pembayaran BPP
 
 Untuk tagihan semester ini belum keluar
 
 Apa yang harus saya lakukan?
 
 Terimakasih";AKUNTANSI
"Selamat pagi, 
 Saya Geovanni Eddy Andaria dari Jurusan Administrasi Bisnis angkatan 2016. Jadi begini, saya semester 9 kemarin membayar BPP full paket sebesar Rp.6.150.000 dan matakuliah yang saya ambil hanya magang dan skripsi. Di tagihan registrasi Igracias tertulis yang terbayar sebesar Rp.2.550.000, lalu saya melihat pengumuman bahwa ada pengembalian dengan mencantumkan nomer rekening, kebetulan saya tidak mencantumkan nomer rekening. Pertanyaan saya, uang sisanya kemana? Lalu semester ini saya mendapat tagihan registrasi sesuai dengan paket dan potongan menjadi sebesar RP.2.350.000 
 Bisa tidak seandainya sisa yang harusnya pengembalian dialihkan kesana?
 
 Selamat pagi,
 Terimakasih";AKUNTANSI
"Selamat siang pak/bu
 Saya Muhammad Arief Hidayat (1102164268), dari jurusan S1 Teknik Elektro
 Pembayaran BPP saya tidak terdeteksi di bank, saya tinggal mengambil mata kuliah TA saja, tapi tadi waktu bayar di bank tidak bisa
 Mohon dibantu agar bisa bayar
 Terimakasih";AKUNTANSI
"Selamat Siang,
 
 Saya Fransisca mahasiswi S2 Teknik Elektro ingin menyampaikan bahwa saya tidak dapat melalukan pembayaran serta tagihan di igracias maupun bank tidak keluar. Mohon bantuannya untuk proses pembayaran ini.
 
 Berikut saya lampirkan dokumen pendukung :
 Nama : Fransisca Elisa Rahardjo
 NIM : 2101181017
 
 Terimakasih";AKUNTANSI
"Dear Finance Tel-u,
 
  
 
 Selamat siang Saya Mujib Ramadhan Hidayat, mahasiswa S2 teknik elektro, dengan NIM 2101181014, ingin memberitahukan bahwa saya tidak bisa membayar tagihan semester via m banking mandiri";AKUNTANSI
"Assalamualaikum, maaf mau tanya ... untuk mahasiswa an Irfan Izdiharrizqullah Septio blm keluar tagihannya. Berapa dan sampai tgl brp pembayarannya?
 Terima kasih atas informasinya.";AKUNTANSI
Selamat pagi , Saya tasya shafa azzahra jurusan S1 kriya tekstil kelas KR 43 02A dengan NIM 1605194005. Mau bertanya perihal registrasi kenapa belum bisa cetak KRS;AKUNTANSI
"Punten, Selamat siang bapak/ibu layanan keuangan mahasiswa Tel-u. Saya Richard Septian Siregar, mahasiswa Ilmu Komunikasi '17 ingin bertanya perihal pengembalian biaya bpp. Saya sudah melaksanakan sidang di periode lalu (sem 7) namun saya sudah membayarkan bpp semester 8. Sesuai saran dari dosen wali saya untuk mengajukan pengembalian dana semester yang berlebih karena saya sudah menyelesaikan perkuliahan dan tidak ada mata kuliah yang akan diambil lagi. Bagaimana kira-kira prosesnya ya pak/bu? 
 Saya sudah menghubungi lewat Whatsapp selama 3 hari terakhir, namun tidak ada respon hingga hari ini. 
 
 Terimakasih banyak sebelumnya pak/bu.";AKUNTANSI
"Assalamualaikum pak/bu.
 Saya Nurhidayah Puteri dari jurusan D3 Rekayasa Perangkat Lunak Aplikasi. Saya sudah melakukan pembayaran BPP dan telah melunaskannya tetapi di igracias statusnya masih BELUM LUNAS sampai sekerang. Bagaimana ya pak/bu?
 Terima kasih";AKUNTANSI
Assalamualaikum wr wb saya Aulia widya clara dengan nim 1301160009. Mohon izin bertanya kembali, bu... untuk pembayaran BPP di saya kenapa belum bisa ya, bu? padahal saya sudah melakukan registrasi matkul dan tagihan di igracias sudah ada. akan tetapi dari bank belum keluar tagihan nya saat kemarin saya mau bayar. Terimakasih;AKUNTANSI
"Selamat Pagi,.
 
 Saya Ade Suryana. Mahasiswa angkatan 2017 prodi S1 Internasional ICT Business.
 Saya ingin mengkonfimasi tentang pembayaran tagihan registrasi. Pada awal periode pembayaran saya membayar dengan nominal Rp. 17.950.000., Namun, setelah perwalian saya mendapatkan informasi bahwa untuk Mahasiswa ICT Business yang semeter 8 hanya mengambil matakuliah Skripsi dan Kolokium tagihan yang dibayarkan hanya Rp. 8.950.000. Maka dalam data pembayaran terdapat selisih (lebih) Rp. 9.000.000,.
 Izin bertanya, Bagaimana cara untuk pengembalian uang selisih pada registrasi saya? apakah nanti akan ada pendataan? mohon informasi selengkapnya.
 
 Terimakasih, Semoga semua senantiasa dalam keadaan sehat.
 Salam,
 Ade Suryana";AKUNTANSI
"Saya Muhammad Naufal Hafizh A, MBTI angkatan 2018,
 Perihal status pembayaran di Igracias yang belum lunas padahal sudah melakukan pembayaran via BNI Mbanking. Saya belum bisa registrasi sampai sekarang dan kelas peminatan yang hampir full bahkan sudah full. Saya meminta tolong agar segera di update. 
 Terimakasih 
 
 Saya sertakan bukti pembayaran.";AKUNTANSI
Assalamualaikum wr.wb, maaf mengganggu waktunya, saya Annaya Sabila dari jurusan ict business 2019 kelas ict 2. Mau bertanya, saya sudah membayar bpp tapi status di igraciasnya belum berubah, jadi saya tidak bisa registrasi mata kuliah. Tadi saya sudah coba tanya dosen wali ktnya bisa jadi karena kepotong biaya admin, setelah dicoba untuk transfer lagi ternyata tidak bisa karena tulisannya tagihan sudah dibayar. Jadi ini kira-kira bagaimana ya? Terima kasih;AKUNTANSI
"Assalamualaikum, selamat malam.
 
 Saya ingin bertanya, saya belum membayar bpp tapi kenapa tidak ada tulisan ""belum lunas"" ya di bagian pembayaran di igracias? Saya ingin membayar tapi tidak tahu berapa nominal yang harus dibayarkan dikarenakan tagihannya tidak muncul di igracias. Nama saya Muhammad Rizki Yofachri dengan NIM 1201140277. Mohon pencerahannya.
 
 Terima kasih.";AKUNTANSI
"Dear all,
 Assalamualaikum,
 Kami dari wali siswa an yudha yasa afrildzal briano semester4 , mohon dibantu kebijakan untuk penundaan pembayaran paling lambat sampai kamis tgl 4 feb 2021
 
 
 Wasalam,
 
 Yudha";AKUNTANSI
"Selamat malam Bapak/Ibu, mohon maaf menggangu waktunya,
 Untuk status registrasi pembayaran belum ter acc (belum lunas)
 
 Terimakasih";AKUNTANSI
"Permisi Bapak / Ibu yang terhormat, saya mengalami kendala saat hendak
 mengisi KRS di lgracias. Di sana tercantum bahwa saya belum membayar
 tagihan sehingga belum bisa mengisi KRS, akan tetapi saya sudah melunasi. Pada proses pembayaran sedikit ada gangguan, dikarenakan saat pembayaran melalui m banking trouble sehingga tidak muncul bukti pembayaran. Berikut saya lampirkan bukti pembayaran melalui mutasi rekening BNI.";AKUNTANSI
"Permisi,saya Teguh surya mahsasiswa S1 Teknik informatika ,saya ingin mengajukan problem, saya tadi habis melakukan pembayaran bpp smester genap seduai d anjuran kampus yaitu Rp. 8.950.000 nah ,setelah ituberhasil saya cek igracias ternyata kurang Rp.2500 rupiah, saya coba transfer lg slalu gagal, 
 
 Mohon bantuannya??.";AKUNTANSI
"Permisi,saya Teguh surya mahsasiswa S1 Teknik informatika ,saya ingin mengajukan problem, saya tadi habis melakukan pembayaran bpp smester genap seduai d anjuran kampus yaitu Rp. 8.950.000 nah ,setelah ituberhasil saya cek igracias ternyata kurang Rp.2500 rupiah, saya coba transfer lg slalu gagal, 
 
 Mohon bantuannya??.";AKUNTANSI
"ermisi Bapak / Ibu yang terhormat, saya Dyah Ayu Salsabila P nim 1604190037 dari kelas SR-43-GAB 2, mengalami kendala saat hendak
 mengisi KRS di lgracias. Di sana tercantum bahwa saya belum membayar
 tagihan sehingga belum bisa mengisi KRS, akan tetapi saya sudah melunasi. Pada proses pembayaran sedikit ada gangguan, dikarenakan saat pembayaran melalui m banking trouble sehingga tidak muncul bukti pembayaran. Berikut saya lampirkan bukti pembayaran melalui mutasi rekening BNI.";AKUNTANSI
Permisi Bapak / Ibu yang terhormat, saya mengalami kendala saat hendak mengisi KRS di Igracias. Tercantum di sana bahwa saya belum membayar tagihan sehingga belum bisa mengisi KRS, padahal saya sudah melunasi semua tagihannya tadi pagi. Berikut saya lampirkan bukti pembayarannya.;AKUNTANSI
