,keluhan,bagian,clean_keluhan
10,"Selamat pagi, 
 Saya Geovanni Eddy Andaria dari Jurusan Administrasi Bisnis angkatan 2016. Jadi begini, saya semester 9 kemarin membayar BPP full paket sebesar Rp.6.150.000 dan matakuliah yang saya ambil hanya magang dan skripsi. Di tagihan registrasi Igracias tertulis yang terbayar sebesar Rp.2.550.000, lalu saya melihat pengumuman bahwa ada pengembalian dengan mencantumkan nomer rekening, kebetulan saya tidak mencantumkan nomer rekening. Pertanyaan saya, uang sisanya kemana? Lalu semester ini saya mendapat tagihan registrasi sesuai dengan paket dan potongan menjadi sebesar RP.2.350.000 
 Bisa tidak seandainya sisa yang harusnya pengembalian dialihkan kesana?
 
 Selamat pagi,
 Terimakasih",AKUNTANSI,geovanni eddy andaria administrasi bisnis angkat semester kemarin bayar bpp full paket rupiah matakuliah ambil magang skripsi tagih registrasi igracias tulis bayar rupiah lihat cantum nomor rekening cantum nomor rekening uang sisa semester tagih registrasi sesuai paket potong rupiah sisa alih kesana
11,"Assalamualaikum selamat pagi bagian keuangan telkom
 
 saya argo surya adi dewantoro dari kelas if 4010
 nim 1301164185
 
 saya ingin bertanya tagihan saya masih di blokir, saya sudah mengikuti langkah untuk registrasi tapi tagihan saya masih di blokir, dari situs situ.telkom juga tidak ada pengajuan lagi",AKUNTANSI,uang telkom argo surya adi dewantoro kelas if tagih blokir langkah registrasi tagih blokir situs situtelkom aju
12,"Assalamualaikum
 
 Saya yuliansyah adhi prayoga 1101154196, mau menanyakan saya ingin melakulan pembayaran bpp tapi gagal terus, saya mahasiswa studi melebihi batas normal, terima kasih
 
 Best Regards,",AKUNTANSI,yuliansyah adhi prayoga melakulan bayar bpp gagal mahasiswa studi batas normal best
13,"Assalamualaikum warahmatullahi wabarakatuh pak/bu. Nama saya Chairunnisa Br Tarigan NIM 6701201006. Mohon maaf sebelumnya pak/bu, mohon dispensasi waktunya untuk saya dalam pembayaran BPP, dikarenakan orang tua saya baru panen padi hari ini dan uangnya baru ada di hari senin pak. Mohon pengertiannya pak???? Terimakasih pak/bu wassalamu'alaykum warahmatullahi wabarakatuh.",AKUNTANSI,warahmatullahi wabarakatuh nama chairunnisa br tarigan dispensasi bayar bpp orang tua panen padi uang senin erti wassalamualaykum warahmatullahi wabarakatuh
14,"Assalamualaikum, 
 Selamat pagi, saya mirza surya mediasta 1401160411, ingin memberitahukan kendala dalam proses pembayaran bpp, dari pihak bank BNI tidak bisa memasukan nomor tagihan saya min, jadi disuruh konfirmasi ke pihak kampus kenapa bisa demikian? Mohon untuk ditindaklanjuti ya min, sebab hari ini terakhir pembayaran BPP ??
 Terimakasih banyak atas perhatiannya ??
 
 *Sebelum ke teller bank BNI saya juga sudah mencoba bayar melalui atm, dan muncul pemberitahuan seperti foto terlampir",AKUNTANSI,mirza surya mediasta memberitahukan kendala proses bayar bpp bank bni masuk nomor tagih suruh konfirmasi kampus ditindaklanjuti akhir bayar bpp perhati teller bank bni coba bayar atm muncul pemberitahuan foto lampir
15,"Permisi, selamat siang kak
 Daya mau bertanya kenapa tagihan saya masih belum keluar jg ya? 
 Padahal ini sudah tanggal 5 dan batas akhir pembayaran
 Tolong bantuannya kak
 Terimakasih",AKUNTANSI,permisi daya tagih jg tanggal batas akhir bayar bantu
16,"Assalamualaikum, saya Ryan Aditya Manda 1201190303, sudah melakukan pembayaran BPP via OVO dengan menggunakan metode VIRTUAL ACCOUNT BANK BNI, tetapi di status pembayaran terta BELUM LUNAS. Bagaimana ya? Mohon solusinya segera. Terima Kasih.
 
 Berikut terlampir bukti pembayaran",AKUNTANSI,ryan aditya manda laku bayar bpp via ovo metode virtual account bank bni status bayar terta lunas solusi lampir bukti bayar
17,"Selamat siang.
 
 Saya Rejnasah Djajilah mahasiswi lama fakultas FEB dengan nim 140115466. Maaf saya mau bertanya, sampai saat ini saya belum bisa melakukan pembayaran karena nomer tagihan tidak terdaftar saya sudah mencoba dari hari selasa melalui teller, atm maupun mbanking. Kira-kira itu kenap ya pa/bu?
 
 Terimakasih????",AKUNTANSI,rejnasah djajilah mahasiswi fakultas feb laku bayar nomor tagih daftar coba selasa teller atm mbanking kirakira kenap pabu
18,"Selamat siang.
 
 Saya Rejnasah Djajilah mahasiswi lama fakultas FEB dengan nim 140115466. Maaf saya mau bertanya, sampai saat ini saya belum bisa melakukan pembayaran karena nomer tagihan tidak terdaftar saya sudah mencoba dari hari selasa melalui teller, atm maupun mbanking. Kira-kira itu kenap ya pa/bu?
 
 Terimakasih????",AKUNTANSI,rejnasah djajilah mahasiswi fakultas feb laku bayar nomor tagih daftar coba selasa teller atm mbanking kirakira kenap pabu
19,"Assalamu'alaikum wr.wb, Selamat pagi bapak/ibu
 Saya Muhhamad Taufik Hendrawan / 7708202103 , Saya ingin bertanya.
 Saya waktu tanggal 1 februari sudah bayar BPP dan status di igracias saya SUDAH LUNAS dan saya sudah mencetak KSM pada tanggal 3 februari dan sudah di Approve oleh Dosen Wali.
 Tapi kemarin saya buka igracias status pembayarannya menjadi SELISIH BAYAR lagi. Itu kenapa ya? ini ada bukti kuitansi pembayarannya.
 Mohon di bantu ya bpk/ibu, Terima Kasih
 Attachments area",AKUNTANSI,muhhamad taufik hendrawan tanggal februari bayar bpp status igracias lunas cetak ksm tanggal februari approve dosen wali kemarin buka igracias status bayar selisih bayar bukti kuitansi bayar bantu bpkibu attachments area
20,"saya daffa ahmad mahasiswa telkom university jurusan perhotelan, saya ingin melakukan pembayaran bpp semester genap lewat mandiri online tidak bisa karena kendala jaringan.
 
 adakah no rekening lain yang bisa digunakan untuk melakukan pembayaran bpp semester genap?",AKUNTANSI,daffa ahmad mahasiswa telkom university hotel laku bayar bpp semester genap mandiri online kendala jaring nomor rekening laku bayar bpp semester genap
21,"Assalamualaikum warahmatullahi wabarokatuh
 Selamat pagi pak/ibu, saya Lelitia Tamara (1401154492) angkatan 2015.
 Saya mahasiswa yang pembayaran BPP nya melampaui masa studi normal... 
 
 Untuk penginputan mata kuliah sudah di acc oleh dosen wali tetapi semenjak tanggal 3 kemarin saya mau bayar melalu teller BNI tagihan nya belum keluar.. bagaimana ya solusinya? Terimakasih sebelumnya ??",AKUNTANSI,warahmatullahi wabarokatuh pakibu lelitia tamara angkat mahasiswa bayar bpp nya lampau studi normal penginputan mata kuliah acc dosen wali semenjak tanggal kemarin bayar teller bni tagih nya solusi
22,"Selamat siang pak/bu
 Saya mengalami kendala saat melakukan transaksi karena ada gangguan ke rek telkomnya, 
 Saya sudah mencoba membayar bpp melalui atm maupun teller namun ada gangguan ke rek telkomnya, saya memakai rek mandiri
 Terimakasih????",AKUNTANSI,alami kendala laku transaksi ganggu rek telkomnya coba bayar bpp atm teller ganggu rek telkomnya pakai rek mandiri
23,"Selamat sore Pak/Bu, 
 
 Saya Novita Sari Ginting, mahasiswi telkom university angkatan 2017, dari jurusan international ICT Business, saya ingin bertanya mengenai kendala pembayaran spp uang kuliah untuk tahun 2021 semester genap, saya baru saja ingin melakukan pelunasan pembayaran melalui atm Bni, saya sudah memasukkan nomor tagihan+1+Nim, tetapi saya tidak dapat menyelesaikan tranksaksi pembayaran saya, informasinya yg tertera ialah, nomor tagihan salah, tidak memiliki tagihan dan voucher tidak tersedia..
 Saya ingin bertanya apakah penyebab kendala tersebut pak/bu, ditunggu ya pak/bu responnya, terimakasih, selamat sore.",AKUNTANSI,novita sari ginting mahasiswi telkom university angkat international ict business kena kendala bayar spp uang kuliah semester genap laku lunas bayar atm bni masuk nomor tagihannim selesai tranksaksi bayar informasi tera nomor tagih salah milik tagih voucher sedia kendala tunggu responnya
24,"Selamat sore min mau nanya untuk pembayaran bpp kan terakhir besok yah, kalo misal mau minta tambahan hari untuk pelunasan bayaran bpp bisa ga ya min? Ada kendala soalnya jadi mau ajuin telat bayar gitu bisa ga ya min? Terimakasih",AKUNTANSI,bayar bpp akhir besok yah kalo lunas bayar bpp ga kendala ajuin telat bayar gitu ga
25,"Assalamualaikum.. Saya orang tua mahasiswa M. Nuris Zaki Nugroho
 Mau menanyakan tagihan pembayaran semester.
 Info dr dosen wali 6.650.000
 Tetapi di siatem 6.850.000 yg betul yg mana. 
 Disistim tertera ada biaya semester kemarin 400.000 padahal saya sudah membayarnya.
 Bagaimna mana yang benar.. 
 Mohon dicek mana yang benar?",AKUNTANSI,orang tua mahasiswa m nur zaki nugroho tagih bayar semester info dr dosen wali siatem disistim tera biaya semester kemarin bayar bagaimna cek
26,"Saya sudah mencoba bayar lewat teller bni dengan format yg biasanya, tetapi kata tellernya ""Data tidak ditemukan"" saya harus apa? Apa formatnya berbeda? 
 
 Terimakasih",AKUNTANSI,coba bayar teller bni format tellernya data temu format beda
27,"Selamat siang kak, saya mau bertanya 
 Tadi saya mau melakukan pembayaran bpp diteller mandiri dan ternyata dikomputernya saya sudah melunasinya padahal saya belum melakukan pembayaran kak 
 Boleh minta tolong dicek kak ? Soalnya igracias saya tidak bisa terbuka",AKUNTANSI,laku bayar bpp diteller mandiri nyata komputer lunas laku bayar cek igracias buka
28,Perkenalkan saya Hasby Musthofa Irja mahasiswa S1 Teknik Telekomunikasi 2015 (1101154237). Kemarin saya mau melakukan pembayaran SPP lewat teller di bank BNI. akan tetapi setelah menginputkan nim muncul notifikasi di komputer teller nilai pembayaran salah. Bagaimana solusinya bu/pak?,AKUNTANSI,kenal hasby musthofa irja mahasiswa s teknik telekomunikasi kemarin laku bayar spp teller bank bni menginputkan muncul notifikasi komputer teller nilai bayar salah solusi
29,"Selamat Siang,
 Saya ingin bertanya mengapa tagihan semester saya tidak keluar.
 Apakah saya harus menyelesaikan Regristrasi Mata Kuliah dahulu baru tagiahan semester keluar?
 Soalnya saya juga belum menyelesaikan regristrasi mata kuliah. Mohon solusinya 
 
 Terima Kasih.",AKUNTANSI,tagih semester selesai regristrasi mata kuliah tagiahan semester selesai regristrasi mata kuliah solusi
30,"Selamat siang pak/bu,
 Saya ni wayan ayu padma mahasiswi jurusan S1 MBTI 2017. Saya yang kemarin sudah email dan sudah mengirimkan surat pernyataan. Saya ingin menanyakan bagaimana kelanjutan BPP saya ya? Kebetulan besok hari terakhir pembayaran BPP. Terimakasih sebelumnya",AKUNTANSI,ni wayan ayu padma mahasiswi s mbti kemarin email kirim surat nyata bpp besok akhir bayar bpp
31,"Assalamualaikum wr. wb.
 Selamat siang, saya Muhamad Elang Ramadhan mahasiswa S1 Informatika 2019 dengan NIM 1301190458 ingin melaporkan masalah terkait pembayaran BPP. Pada iGracias saya total tagihan yang terbayar tidak sesuai dengan yang sudah dibayarkan / ditransferkan, untuk lebih jelasnya bisa dilihat pada lampiran.
 Terimakasih.",AKUNTANSI,muhamad elang ramadhan mahasiswa s informatika lapor kait bayar bpp igracias total tagih bayar sesuai bayar transfer lihat lampir
32,Mohon klarifikasi. Mhs saya angkatan 2015. Nama : SONI RAMDANI AKBAR. 1101154190. Di Igracias tertulis Tagihan 3.750.000 + asuransi 150.000 - subsidi 200.000 = 3.700.000 harusnya. Tp dia bayar Rp 3.750.000 krn tagihan di bank (Mandiri) segitu katanya. Kmd dicek di igracias lagi tertulisnya baru bayar Rp 3.600.000 dan kurang Rp 100.000. Mohon dapat dibantu ????,AKUNTANSI,klarifikasi mhs angkat nama soni ramdani akbar igracias tulis tagih asuransi subsidi bayar rupiah krn tagih bank mandiri segitu kmd cek igracias tulis bayar rupiah rupiah bantu
33,"Assalamualaikum pak/ibu selamat siang, Perkenalkan Nama saya Hilman rizqiyansyah dari fakultas industri kreatif prodi desain produk sebelumnya saya mau menanyakan pak/ibu saya kan sudah melakukan pembayaran pada tanngal 03/02/2021 jam 15:16 Bpp yang sebelumnya sebesar 6.950.000juta di potong menjadi 4.950.000 karena di potong sebesar 2 juta itu Dari uang asrama yang tidak jadi di ambil untuk potongan Biyaya semester 2, 
 Tetapi saya belum bisa melakukan proses registrasi.",AKUNTANSI,pakibu kenal nama hilman rizqiyansyah fakultas industri kreatif prodi desain produk pakibu laku bayar tanngal jam bpp juta potong potong juta uang asrama ambil potong biyaya semester laku proses registrasi
34,"saya melakukan pembayaran via mandiri yang biasanya melalui BNI dengan adanya perubahan dan tidak memberitahu kepada mahasiswa saya rasa itu kurang baik, kemudian saya sudah membayar dengan menggunakan mandiri",AKUNTANSI,laku bayar via mandiri bni ubah memberitahu mahasiswa bayar mandiri
35,"Pagi, saya Suci penerima beasiswa ukt. Saya sudah membayar sisa tagihan bpp melalui VA BNI, cuma kenapa status di igracias nya masi belom lunas ya?
 
 mohon dibantu, ini nim saya 6701180007 a/n Suci Rahmadani",AKUNTANSI,suci beasiswa ukt bayar sisa tagih bpp va bni status igracias nya bom lunas bantu an suci rahmadani
36,"Assalamualaikum,saya samira mahasiswi angkatan 2019,saya kemaren mengajukan penundaan bpp&sudah izin&mengetahui dosen wali saya,tetapi saya telat bayar&telat submit berkas samapai waktu yang ditenkukan terakhir tanggal 29.lalu saya masih belum bisa regristrasi mata kuliah,Mohon bantuanya??terima kasih",AKUNTANSI,assalamualaikumsaya samira mahasiswi angkat kemaren aju tunda bppsudah izinmengetahui dosen wali sayatetapi telat bayartelat submit berkas samapai ditenkukan akhir tanggal regristrasi mata kuliahmohon bantuanyaterima
37,"Selamat pagi,
 
 Saya Rachmadania Irmanita (1301174500) jurusan S1 Informatika ingin bertanya mengenai BPP untuk melakukan registrasi mata kuliah S2. Saya mengikuti program fastrack S2. Saya ingin melakukan registrasi untuk S2 namun saya diminta untuk melakukan pembayaran S1 karena saya dinyatakan belum terdaftar pada program fastack dan belum mengambil mata kuliah S2. Sedangkan pada semester sebelumnya saya sudah mengambil mata kuliah S2 (ada di ksm juga sudah dapat nilai akhir untuk mk tersebut) dan di-approve untuk mengikuti program Fastrack oleh kaprodi Informatika S2. Apakah saya tidak bisa hanya membayar BPP untuk S2 saja? Terima kasih.
 
 Hormat saya,
 Rachmadania Irmanita",AKUNTANSI,rachmadania irmanita s informatika kena bpp laku registrasi mata kuliah s program fastrack s laku registrasi s laku bayar s nyata daftar program fastack ambil mata kuliah s semester ambil mata kuliah s ksm nilai akhir mk diapprove program fastrack kaprodi informatika s bayar bpp s hormat rachmadania irmanita
38,"Dear Bapak Ibu Finance Telkom University,
 
 Saya Almerindo Bianco Sequeira Mahasiswa S2 Teknik Industri FRI-TelU.
 Saat ini saya sedang menunggu jadwal untuk Ujian Pemantauan Tesis dan selanjutnya untuk ujian Tesis.
 
 Saya ingin sampaikan kembali informasi dari bagian Admin Prodi S2 TelU terkait registrasi mata kuliah dan pembayaran biaya BPP untuk saya saat ini.
 
 Berhubungan dengan proses registrasi mata kuliah dan juga proses perkuliahan saya saat ini hanya menunggu jadwal untuk ujian pemantauan Tesis dan ujian Tesis, dari Admin Prodi S2 Teknik Industri FRI, maka informasi dari admin S2 FRI sampaikan bahwa untuk sementara ini saya ""GAUSAH REGISTRASI"", dengan syarat harus kejar ujian Tesis hingga selesai dan masuk Yudisium dari FRI bulan depan, jika tidak sempat mengikuti Yudisium bulan depan baru melakukan registrasi dan kemungkingan juga kena biaya BPP untuk proses selanjutnya.
 
 Demikian informasi ini saya sampaikan, mohon perhatian dan mengijinkan jika saya tidak sempat masuk Yudisium bulan depan, dan harus registrasi lagi mata kuliah untuk proses perkuliahan saya serta segala aturan dan kebijakan dari kampus sendiri terkait registrasi dan pembayaran biaya BPP.
 
 Nota tagiahan biaya bagi saya untuk semester ini yang ada di IGRACIAS.",AKUNTANSI,finance telkom university almerindo bianco sequeira mahasiswa s teknik industri fritelu tunggu jadwal uji pantau tesis uji tesis informasi prodi s kait registrasi mata kuliah bayar biaya bpp hubung proses registrasi mata kuliah proses kuliah tunggu jadwal uji pantau tesis uji tesis prodi s teknik industri fri informasi s fri gausah registrasi syarat kejar uji tesis selesai masuk yudisium fri yudisium laku registrasi kemungkingan kena biaya bpp proses informasi perhati mengijinkan masuk yudisium registrasi mata kuliah proses kuliah atur bijak kampus kait registrasi bayar biaya bpp nota tagiahan biaya semester igracias
39,"Assalamu'alaikum dan selamat malam, bapak/ibu perkenalkan saya Desy Fitriani dengan nim 1202184004 dari jurusan Sistem Informasi (FRI), bapak/ibu saya ingin bertanya saya kan mengajukan untuk keringanan biaya BPP tapi saat saya akan bayar tadi sore dan saya mengecek berapa nominal 30% untuk pembayaran awalnya di SITU nya itu muncul seperti ini bapak/ibu, itu bagaimana ya? Saya tanya ke dosen wali saya katanya terakhir pembayaran tanggal 5 Februari 2021, tapi di SITU nya seperti itu bapak/ibu. Saya mohon untuk jawaban dan informasinya bapak/ibu, saya minta maaf kalau melakukan pembayaran sangat telat, saya mohon untuk diberikan lagi kesempatan pemotongan biayanya bapak/ibu.
 Terimakasih.",AKUNTANSI,kenal desy fitriani sistem informasi fri aju ringan biaya bpp bayar ecek nominal bayar situ nya muncul dosen wali akhir bayar tanggal februari situ nya informasi laku bayar telat potong biaya
40,"Assalamualaikum pak
 Saya RIFANGGA QAID AQSHAL (1501194300) dari kelas AB 43 03 pak
 Maaf menganggu bapak, mohon bantuan bapak untuk saya dapat kiranya mencicil untuk pembayaran uang kuliah semester ini lagi, mohon arahannya, dan saya ucapkan terimakasih atas bantuan bapak.",AKUNTANSI,rifangga qaid aqshal kelas ab menganggu bantu cicil bayar uang kuliah semester arah bantu
41,"Selamat sore pak/bu. Saya Febrian Wulandari (1202194047) dari kelas SI 43-03 izin bertanya. 
 Untuk pembayaran 30% itu, tadi saya juga sudah mentransfer ke Bank BNI dengan m-banking tetapi di igracias blm ada perubahan apapun. Itu bagaimana ya pak/bu? Kira-kira infonya kapan ya pak/bu? karena saya jadi belum bisa melakukan registrasi mata kuliah
 
 Terimakasih",AKUNTANSI,febrian wulandari kelas si izin bayar transfer bank bni mbanking igracias ubah kirakira info laku registrasi mata kuliah
42,"Assalamualaikum selamat sore saya yunita dari akuntansi 2019 ingin menanyakan perihal keringanan bpp. Disini saya mendapatkan keringanan sebesar 10% tadi igraciasnya sudah update tetapi di igraciasnya masih belum di potong,kira kira kapan ya igraciasnya di update lagi? Terimakasih",AKUNTANSI,yunita akuntansi perihal ringan bpp ringan igraciasnya update igraciasnya potongkira igraciasnya update
43,"Assalamualaikum saya Gabriella dari akuntansi 2019 izin bertanya perihal registarsi matakuliah di igracias ,teman saya sudah dapat registrasi matakuliah padahal status pembayaran saya dan teman saya sama masih menunggu potongan 10 % , tetapi igracias saya belum dapat Registrasi mata kuliah itu bagaimana ya ? ,
 
 
  Terimakasih sebelumnya",AKUNTANSI,gabriella akuntansi izin perihal registarsi matakuliah igracias teman registrasi matakuliah status bayar teman tunggu potong igracias registrasi mata kuliah
44,"permisi, saya zidny mahasiswa s1 Teknik telekomunikasi semester 6, tanggal 28 januari kemarin saya sudah mengajukan penundaan dan membayar 30% bpp, tapi hari ini ketika saya akan melakukan registrasi mata kuliah kenapa masih belum bisa ya ? sepengetahuan saya semester kemarin juga mengajukan penundaan dan bisa registrasi, terima kasih",AKUNTANSI,permisi zidny mahasiswa s teknik telekomunikasi semester tanggal januari kemarin aju tunda bayar bpp laku registrasi mata kuliah semester kemarin aju tunda registrasi
45,"Selamat siang,
 
 Perkenalkan saya Arief Tri Hendrayanto mahasiswa Teknik Industri 2017. Saya ingin bertanya perihal status pembayaran BPP saya di Igracias, saya sudah melakukan pembayaran melalui Teller bank Mandiri pada tanggal 02/02/2021 jam 10.00 dengan status transaksi di bank ""Sukses"", namun di igracias pada tanggal 02/02/2021 setelah saya melakukan pembayaran, status di igracias ""Belum Lunas"", pada tanggal 03/02/2021 statusnya berubah menjadi ""Kredit"", saya sudah menanyakan hal ini via Whatsapp keuangan tetapi tidak ada jawaban, jadi apakah memang perlu menunggu beberapa hari untuk perubahan status menjadi ""Lunas"" atau bagaimana ya?
 
 Terima Kasih.",AKUNTANSI,kenal arief tri hendrayanto mahasiswa teknik industri perihal status bayar bpp igracias laku bayar teller bank mandiri tanggal jam status transaksi bank sukses igracias tanggal laku bayar status igracias lunas tanggal status ubah kredit via whatsapp uang tunggu ubah status lunas
46,Permisi saya Syihab Agung dengan NIM 1103162007 dari S1 Teknik Komputer saya mau bertanya tentang pembayaran karena saya sudah bolak balik berkali kali ke teller dan mencoba untuk membayar semester melalui ATM kok tetapi teller bilang data tagihan saya tidak ditemukan dan juga di ATM tagihan saya tidak ditemukan itu kenapa ya?,AKUNTANSI,permisi syihab agung s teknik komputer bayar bolak kali kali teller coba bayar semester atm teller bilang data tagih temu atm tagih temu
47,"Selamat Siang,
 
 Saya Iwasni mahasiswa S2 Teknik Elektro ingin menyampaikan bahwa saya tidak dapat melakukan pembayaran serta tagihan di igracias mau pun bank tidak keluar. Mohon bantuannya untuk proses pembayaran ini.
 
 Berikut saya lampirkan :
 Nama : Iwasni
 NIM : 2101181009
 
 Terimakasih.",AKUNTANSI,iwasni mahasiswa s teknik elektro laku bayar tagih igracias bank bantu proses bayar lampir nama iwasni
48,"Assalamualaikum selamat pagi bagian keuangan telkom
 
 saya argo surya adi dewantoro dari kelas if 4010
 nim 1301164185
 
 saya ingin bertanya tagihan saya masih di blokir, saya sudah mengikuti langkah untuk registrasi tapi tagihan saya masih di blokir, dari situs situ.telkom juga tidak ada pengajuan lagi",AKUNTANSI,uang telkom argo surya adi dewantoro kelas if tagih blokir langkah registrasi tagih blokir situs situtelkom aju
49,Selamat siang saya orangtua dari shabrina azzahra putri th 2020/2021 Nim : 1201202498.. mau menanyakan apakah pembayaran semester 2 ini saya langsung potong uang asrama jadi saya hanya bayar rp6.000.000 trm ksh,AKUNTANSI,orangtua shabrina azzahra putri th bayar semester langsung potong uang asrama bayar rupiah ksh
50,"siang teh saya Refin Malikul Iskandar 1102160270 mhs telkom angkatan 2016 maaf mengganggu, 
 
  izin ingin konsultasi kendala pembayaran taghihan bpp telkom teh. ketika saya menggunakan atm mandiri hari selasa, terdapat tampilan normor tidak terdaftar.
 setelah itu saya ke teller bni menggunakan Riwayat pembayaran semeseter lalu namun juga tidak bisa. solusi nya seperti apa ya teh? terimakasih",AKUNTANSI,teh refin malikul iskandar mhs telkom angkat ganggu izin konsultasi kendala bayar taghihan bpp telkom teh atm mandiri selasa tampil normor daftar teller bni riwayat bayar semeseter solusi nya teh
51,"Selamat siang
 
 Mohon maaf mengganggu
 
 Ingin bertanya mengenai pembayaran BPP
 
 Untuk tagihan semester ini belum keluar
 
 Apa yang harus saya lakukan?
 
 Terimakasih",AKUNTANSI,ganggu kena bayar bpp tagih semester laku
